Client Name,Equipment Type,ISI Number,Serial Number,DOM,SWL,Client Ref,Location,Report ID,A Defect,B Defect,C Defect,D Defect,Report Date,Next Inspection Date
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01111,N/A,N/A,140 KG,S/No: C15 (M8) 0900,900,14550,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01031,N/A,N/A,2000 KG,S/No: 0711,700,14551,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01260,N/A,N/A,3000 KG,S/No: 003254710,1300,14552,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01479,N/A,N/A,230 KG,S/No: C15 (M10) 1807,1800,14553,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01174,N/A,N/A,1000 KG,S/No: 003305103,1100,14554,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01456,N/A,N/A,7000 KG,S/No: 1717,1700,14555,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01248,N/A,N/A,7000 KG,S/No: 1225,1200,14556,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01160,N/A,N/A,7000 KG,S/No: VBC20 1024,1000,14557,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01144,N/A,N/A,230 KG,S/No: C15 (M10) 1012,1000,14558,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01276,N/A,N/A,340 KG,S/No: C15 (M12) 1318,1300,14559,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01362,N/A,N/A,230 KG,S/No: C15 (M10) 1504,1500,14560,None,None,None,None,02/12/2023,02/06/2024
